Restaurant_Name	Restaurant_URL	Cuisine_Type	Address
La Pulperia	/ny/new-york/433674-la-pulperia/menu/	Seafood, South American, Cocktails	1626 2nd Ave New York, NY, 10028
Neapolitan Express (E 111st St)	/ny/new-york/437007-neapolitan-express-e-111st-st/menu/	Pizza	232 E 111st St New York, NY, 10029
Cafe Jax	/ny/new-york/476224-cafe-jax/menu/	Coffee & Tea, Sandwiches	318 E 84th St New York, NY, 10028
Sushi Seki	/ny/new-york/476021-sushi-seki/menu/	Japanese, Sushi	208 W 23rd St New York, NY, 10011
Fud-Hi	/ny/new-york/477663-fud-hi/menu/	Korean	Location Varies New York, NY, 10004
Sachi	/ny/new-york/477223-sachi/menu/	Sushi, Asian Fusion	713 2nd Ave New York, NY, 10016
Greecologies	/ny/new-york/478225-greecologies/menu/	Greek, Coffee & Tea	379 Broome St New York, NY, 10013
The Commons Chelsea	/ny/new-york/318157-the-commons-chelsea/menu/	Bakery & Pastries, Coffee & Tea, American	128 7th Ave New York, NY, 10011
McKenna's Pub	/ny/new-york/352013-mckenna-s-pub/menu/	Irish, Bar Food	250 W 14th St New York, NY, 10011
Benares Indian Restaurant	/ny/new-york/317586-benares-indian-restaurant/menu/	Indian	45 Murray St New York, NY, 10007
Tartina	/ny/new-york/333654-tartina/menu/	Italian, Sandwiches	653 9th Ave New York, NY, 10036
Local 92	/ny/new-york/323564-local-92/menu/	Mediterranean, Middle Eastern, Vegetarian	92 2nd Ave New York, NY, 10003
Solace Bar and Grill	/ny/new-york/341172-solace-bar-and-grill/menu/	American, Bar Food	3496 Broadway New York, NY, 10031
Radiance	/ny/new-york/339780-radiance/menu/	Chinese, Dim Sum, Teahouses	208 E 50th St New York, NY, 10022
Financier Patisserie	/ny/new-york/359911-financier-patisserie/menu/	French, Bakery & Pastries, Coffee & Tea, Desserts	1211 6th Ave New York, NY, 10036
Sushi Dojo	/ny/new-york/357453-sushi-dojo/menu/	Japanese, Sushi	110 1st Ave New York, NY, 10009
Cafe Tarantin	/ny/new-york/375645-cafe-tarantin/menu/	Coffee & Tea	302 W 38th St New York, NY, 10018
Oishi Bay Sushi Restaurant	/ny/new-york/381227-oishi-bay-sushi-restaurant/menu/	Japanese, Sushi	230 E 29th St New York, NY, 10016
Bustan NYC	/ny/new-york/386049-bustan-nyc/menu/	Mediterranean	487 Amsterdam Ave New York, NY, 10024
Horchata	/ny/new-york/400871-horchata/menu/	Mexican, Cocktails	470 6th Ave New York, NY, 10011
Mokbar	/ny/new-york/395542-mokbar/menu/	Korean, Noodles	75 9th Ave. New York, NY, 10011
